station,year,Month,sst.station
6,24,3,3.796666666666667
6,24,4,4.663333333333333
6,25,1,5.426666666666667
6,25,2,4.055
6,25,3,3.765
6,25,4,5.16
6,26,1,4.99
6,26,2,3.58
6,26,3,3.17
6,26,4,4.54
7,1,1,4.236666666666667
7,1,3,3.8
7,2,3,2.9733333333333336
7,2,4,3.625
7,3,1,3.6366666666666667
7,3,2,2.12
7,3,3,2.09625
7,3,4,2.635
7,4,1,3.8049999999999997
7,4,2,3.035
7,4,3,2.9575
7,4,4,4.225
7,5,1,3.3850000000000002
7,5,3,1.585
7,5,4,2.128
7,6,1,3.3825000000000003
7,6,2,2.74
7,6,3,2.802857142857143
7,6,4,2.7925
7,7,1,4.623333333333333
7,7,3,3.145
7,7,4,4.086666666666667
7,8,2,2.45
7,8,3,2.5116666666666667
7,8,4,3.44
7,9,1,3.73
7,9,2,2.8233333333333333
7,9,3,2.9433333333333334
7,9,4,6.073333333333333
7,10,1,5.326666666666666
7,10,3,3.3266666666666667
7,10,4,3.8733333333333335
7,11,1,3.8166666666666664
7,11,2,3.2966666666666664
7,11,3,3.033333333333333
7,11,4,4.04
7,12,1,2.8266666666666667
7,12,2,1.33
7,12,3,1.8366666666666667
7,12,4,2.0733333333333333
7,13,1,3.9933333333333336
7,13,2,2.8433333333333333
7,13,3,2.7
7,13,4,4.83
7,14,1,4.1866666666666665
7,14,2,2.9533333333333336
7,14,4,3.5533333333333332
7,15,1,3.85
7,15,3,1.7983333333333333
7,15,4,3.4233333333333333
7,16,1,5.783333333333333
7,16,3,3.7966666666666664
7,16,4,6.3
7,17,1,4.38
7,17,2,3.8633333333333333
7,17,3,4.053333333333333
7,17,4,5.033333333333333
7,18,1,4.906666666666667
7,18,2,3.5166666666666666
7,18,3,3.3466666666666667
7,18,4,4.5633333333333335
7,19,1,3.45
7,19,2,1.93
7,19,3,1.1833333333333333
7,19,4,2.966666666666667
7,20,1,2.7933333333333334
7,20,3,1.17
7,20,4,2.0266666666666664
7,21,1,4.463333333333333
7,21,3,3.1766666666666667
7,22,1,2.9
7,22,2,2.47
7,22,3,1.8433333333333335
7,22,4,1.9766666666666666
7,23,2,2.8066666666666666
7,23,3,3.1083333333333334
7,23,4,5.45
7,24,1,4.8966666666666665
7,24,2,3.57
7,24,3,3.916666666666667
7,24,4,4.703333333333333
7,25,1,5.8566666666666665
7,25,3,4.25
7,25,4,5.47
7,26,1,4.796666666666667
7,26,2,3.32
7,26,3,3.49
8,1,1,4.466666666666667
8,1,3,3.6566666666666667
8,3,1,4.07
8,4,1,3.93
8,4,4,4.5616666666666665
8,5,3,0.46166666666666667
8,5,4,2.35
8,6,1,2.736666666666667
8,7,1,4.553333333333333
8,7,2,3.4066666666666667
8,7,4,4.016666666666667
8,8,1,3.706666666666667
8,8,3,2.3666666666666667
8,8,4,4.016666666666667
8,9,1,3.93
8,9,2,3.12
8,9,3,3.5766666666666667
8,9,4,6.6866666666666665
8,10,1,5.076666666666667
8,10,2,2.62
8,10,3,3.17
8,10,4,5.333333333333334
8,11,1,2.9033333333333333
8,11,2,3.4766666666666666
8,11,3,3.49
8,11,4,3.9666666666666663
8,12,1,2.98
8,12,2,1.5666666666666667
8,12,3,2.27
8,12,4,2.8533333333333335
8,13,1,4.173333333333333
8,13,2,2.7966666666666664
8,13,3,2.9233333333333333
8,13,4,6.1033333333333335
8,14,1,4.71
8,14,2,2.7866666666666666
8,14,4,4.068333333333333
8,15,1,2.74
8,15,3,1.2116666666666667
8,15,4,3.6333333333333333
8,16,1,6.403333333333333
8,16,2,3.206666666666667
8,16,3,3.7266666666666666
8,16,4,6.066666666666666
8,17,1,4.77
8,17,2,4.213333333333333
8,17,3,4.14
8,17,4,4.95
8,18,1,4.156666666666666
8,18,2,2.8666666666666667
8,18,3,2.64
8,18,4,5.096666666666667
8,19,1,2.4433333333333334
8,19,2,1.41
8,19,3,1.28
8,19,4,3.6966666666666668
8,20,1,1.9333333333333333
8,20,3,0.7366666666666667
8,20,4,2.1
8,21,1,4.966666666666667
8,21,3,2.3466666666666667
8,21,4,3.6333333333333333
8,22,2,2.2783333333333333
8,22,3,1.1433333333333333
8,22,4,1.48
8,23,2,3.315
8,23,3,3.76
8,23,4,6.796666666666667
8,24,1,5.84
8,24,2,4.083333333333333
8,24,4,6.08
8,25,1,5.365
8,25,3,3.88
8,25,4,6.676666666666667
8,26,1,5.403333333333333
8,26,2,2.893333333333333
8,26,3,3.3233333333333333
8,26,4,4.653333333333333
9,21,1,5.063642473118279
